,Nome,Código,Setor econômico,Subsetor,Segmento,EBIT/ativo,EBIT12M,EBIT3M,EV/EBIT,EV/EBITDA ,LPA,P/Ativos,P/EBIT,P/L,P/VP,P/ativcircLiq,P/capGiro,PSR,ROE,ROIC,VPA,ativo,ativoCirc,cresRec5A,disponib,divBr/patrim,divBruta,divLiq,divYield,giroAtivos,liquidCorr,lucroLiq12M,lucroLiq3M,margBruta,margEBIT,margLiq,max1ano,min1ano,numacs,osc12M,osc2016,osc2017,osc2018,osc2019,osc2020,osc2021,osc30D,oscDia,oscMes,patrimLiq,preço,recLiq12M,recLiq3M,valorFirma,valorMercado
282,B2W DIGITAL,BTOW3,Consumo Cíclico,Comércio,Produtos Diversos,0.016,302716000.0,94605000.0,152.09,51.99,-0.31,2.57,161.83,-279.47,5.14,17.3,6.62,5.37,-0.018,0.039,17.03,19080500000.0,12376500000.0,-0.008,7964310000.0,0.53,5015470000.0,-2948840000.0,0.0,0.48,2.49,-175286000.0,-43825000.0,0.291,0.033,-0.019,126.16,42.91,559858000.0,0.159,-0.296,1.059,1.05,0.514,0.205,0.157,0.111,0.085,0.157,9535270000.0,87.5,9120290000.0,2663960000.0,46038700000.0,48987600000.0
283,CENTAURO,CNTO3,Consumo Cíclico,Comércio,Produtos Diversos,-0.025,-128008000.0,-10874000.0,-51.56,65.06,0.61,1.22,-49.11,42.29,3.27,-8.78,4.27,2.32,0.077,-0.042,7.94,5148820000.0,2510740000.0,,1455160000.0,0.92,1768030000.0,312867000.0,0.0,0.53,2.42,148651000.0,-33246000.0,0.467,-0.047,0.055,50.58,17.87,241890000.0,-0.358,0.0,0.0,0.0,1.86,-0.149,-0.126,-0.126,0.009,-0.126,1920950000.0,25.99,2711270000.0,569038000.0,6599590000.0,6286720000.0
284,LOJAS AMERIC,LAME3,Consumo Cíclico,Comércio,Produtos Diversos,0.052,2099230000.0,372154000.0,17.92,10.45,0.32,0.93,17.91,63.69,3.0,28.78,2.59,1.82,0.047,0.117,6.7,40220000000.0,25438200000.0,0.033,15995700000.0,1.28,16015000000.0,19219500.0,0.011,0.51,2.33,590230000.0,49863000.0,0.348,0.102,0.025,31.99,13.04,1867540000.0,-0.124,0.287,0.052,0.151,0.331,0.042,-0.005,0.006,0.038,-0.005,12512500000.0,20.13,20612800000.0,5128610000.0,37612700000.0,37593500000.0
285,LOJAS AMERIC,LAME4,Consumo Cíclico,Comércio,Produtos Diversos,0.052,2099230000.0,372154000.0,22.83,13.31,0.32,1.19,22.82,81.16,3.83,36.68,3.3,2.32,0.047,0.117,6.7,40220000000.0,25438200000.0,0.033,15995700000.0,1.28,16015000000.0,19219500.0,0.008,0.51,2.33,590230000.0,49863000.0,0.348,0.102,0.025,36.26,16.02,1867540000.0,-0.107,0.092,0.005,0.16,0.331,0.015,-0.015,0.014,0.041,-0.015,12512500000.0,25.65,20612800000.0,5128610000.0,47921500000.0,47902300000.0
286,PETZ,PETZ3,Consumo Cíclico,Comércio,Produtos Diversos,0.0,0.0,40446000.0,,,0.0,4.42,,0.0,16.06,-19.11,24.53,,,,1.36,1838710000.0,907550000.0,,542887000.0,1.05,529558000.0,-13329000.0,0.002,,1.57,0.0,12650000.0,,,,22.0,13.98,372856000.0,0.303,0.0,0.0,0.0,0.0,0.142,0.141,0.164,0.018,0.141,505953000.0,21.79,0.0,377704000.0,8111200000.0,8124530000.0
287,QUERO-QUERO,LJQQ3,Consumo Cíclico,Comércio,Produtos Diversos,0.0,0.0,60583000.0,,,0.0,1.35,,0.0,6.4,-24.34,4.41,,,,2.47,2184210000.0,1601000000.0,,629702000.0,0.87,402864000.0,-226838000.0,0.004,,1.72,0.0,30105000.0,,,,16.39,12.6,187290000.0,0.238,0.0,0.0,0.0,0.0,0.28,-0.033,0.055,0.011,-0.033,461850000.0,15.77,0.0,455158000.0,2726730000.0,2953560000.0
288,SARAIVA LIVR,SLED3,Consumo Cíclico,Comércio,Produtos Diversos,-0.247,-108963000.0,-35747000.0,-2.95,-6.69,-6.53,0.16,-0.63,-0.17,-0.2,-0.11,-1.18,0.19,1.198,-0.353,-5.45,441895000.0,135191000.0,-0.322,33171000.0,-0.83,285174000.0,252003000.0,0.0,0.82,0.7,-414236000.0,-51247000.0,0.299,-0.301,-1.143,4.06,0.67,63410000.0,-0.717,1.006,-0.484,-0.547,1.975,-0.757,-0.044,-0.099,0.0,-0.044,-345644000.0,1.09,362457000.0,41667000.0,321120000.0,69116900.0
289,SARAIVA LIVR,SLED4,Consumo Cíclico,Comércio,Produtos Diversos,-0.247,-108963000.0,-35747000.0,-2.67,-6.07,-6.53,0.09,-0.36,-0.09,-0.11,-0.06,-0.67,0.11,1.198,-0.353,-5.45,441895000.0,135191000.0,-0.322,33171000.0,-0.83,285174000.0,252003000.0,0.0,0.82,0.7,-414236000.0,-51247000.0,0.299,-0.301,-1.143,1.98,0.54,63410000.0,-0.701,-0.23,0.184,-0.463,0.014,-0.701,-0.031,-0.016,0.0,-0.031,-345644000.0,0.62,362457000.0,41667000.0,291317000.0,39314200.0
290,BIOMM       ,BIOM3,Saúde,Medicamentos e Outros Produtos,Medicamentos e Outros Produtos,-0.125,-43508000.0,-9367000.0,-27.62,-31.58,-0.86,3.08,-24.67,-18.4,9.88,-8.4,21.83,24.44,-0.537,-0.155,1.6,348183000.0,111824000.0,8.324,59105000.0,1.72,187284000.0,128179000.0,0.0,0.13,1.78,-58332000.0,-12343000.0,0.265,-0.991,-1.328,23.6,8.83,67716000.0,0.007,0.171,0.48,-0.113,0.533,0.31,-0.022,-0.072,-0.019,-0.022,108621000.0,15.85,43913000.0,18780000.0,1201480000.0,1073300000.0
291,BIOMM       ,BIOM4,Saúde,Medicamentos e Outros Produtos,Medicamentos e Outros Produtos,-0.125,-43508000.0,-9367000.0,-16.46,-18.82,-0.86,1.69,-13.51,-10.08,5.41,-4.6,11.95,13.39,-0.537,-0.155,1.6,348183000.0,111824000.0,8.324,59105000.0,1.72,187284000.0,128179000.0,0.0,0.13,1.78,-58332000.0,-12343000.0,0.265,-0.991,-1.328,0.0,0.0,67716000.0,0.0,0.736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108621000.0,8.68,43913000.0,18780000.0,715954000.0,587775000.0
292,OUROFINO S/A,OFSA3,Saúde,Medicamentos e Outros Produtos,Medicamentos e Outros Produtos,0.113,112968000.0,53001000.0,18.4,14.92,1.54,1.92,17.05,23.16,3.49,16.36,5.61,2.73,0.151,0.145,10.23,1000840000.0,566556000.0,0.095,168731000.0,0.58,321371000.0,152640000.0,0.012,0.71,2.54,83154000.0,45501000.0,0.505,0.16,0.118,44.91,18.58,53949000.0,-0.211,-0.19,-0.14,0.416,0.283,-0.12,-0.06,0.009,-0.014,-0.06,551954000.0,35.7,706081000.0,225194000.0,2078620000.0,1925980000.0
293,ADVANCED-DH,ADHM3,Saúde,"Serviços Médico - Hospitalares, Análises e Diagnósticos","Serviços Médico - Hospitalares, Análises e Diagnósticos",37.704,-4471000.0,-993.0,-5.69,-5.81,-0.38,105.13,-5.69,-4.09,-1.29,-1.27,-1.43,770.92,0.315,5.217,-1.21,242.0,23.0,0.435,0.0,,0.0,0.0,0.0,0.14,0.0,-6224000.0,-2492000.0,1.0,276.5,384.91,3.24,1.07,16308000.0,-0.327,0.0,-0.354,-0.265,0.747,-0.265,0.0,-0.147,0.0,0.0,-19776000.0,1.56,33.0,33.0,25440500.0,25440500.0
294,ALLIAR,AALR3 ,Saúde,"Serviços Médico - Hospitalares, Análises e Diagnósticos","Serviços Médico - Hospitalares, Análises e Diagnósticos",-0.008,-21021000.0,15997000.0,-90.38,19.76,-0.87,0.51,-62.35,-12.76,1.11,-1.72,-40.96,1.46,-0.087,-0.009,9.95,2553050000.0,583844000.0,-0.055,212848000.0,0.68,802102000.0,589254000.0,0.008,0.35,0.95,-102711000.0,-3855000.0,0.164,-0.023,-0.108,22.84,8.21,118293000.0,-0.508,-0.237,0.01,-0.101,0.372,-0.38,-0.002,-0.025,-0.023,-0.002,1176680000.0,11.08,898026000.0,259433000.0,1899940000.0,1310690000.0
295,DASA        ,DASA3,Saúde,"Serviços Médico - Hospitalares, Análises e Diagnósticos","Serviços Médico - Hospitalares, Análises e Diagnósticos",0.002,28065900.0,137009000.0,3120300000.0,127.97,-0.4,6.78,2998030000.0,-441.28,21.6,-17.96,65.46,14.29,-0.049,0.003,8.1,12414900000.0,3837750000.0,0.178,1322750000.0,1.22,4754490000.0,3431730000.0,0.002,0.47,1.5,-190678000.0,49429000.0,0.25,0.005,-0.032,199.0,50.87,480814000.0,1.699,0.745,0.559,-0.014,1.175,0.267,1.42,1.561,-0.121,1.42,3896020000.0,175.0,5886730000.0,2070640000.0,87574200000.0,84142500000.0
296,FLEURY      ,FLRY3,Saúde,"Serviços Médico - Hospitalares, Análises e Diagnósticos","Serviços Médico - Hospitalares, Análises e Diagnósticos",0.073,407811000.0,238296000.0,23.12,12.86,0.55,1.54,21.18,49.78,5.12,-4.41,9.65,3.13,0.103,0.096,5.32,5600270000.0,1955820000.0,0.083,1139830000.0,1.14,1928070000.0,788239000.0,0.032,0.49,1.84,173553000.0,132065000.0,0.26,0.148,0.063,32.55,18.0,317366000.0,-0.131,1.501,0.689,-0.31,0.619,-0.093,0.015,0.025,-0.011,0.015,1687540000.0,27.22,2763580000.0,874583000.0,9426940000.0,8638700000.0
297,HAPVIDA,HAPV3,Saúde,"Serviços Médico - Hospitalares, Análises e Diagnósticos","Serviços Médico - Hospitalares, Análises e Diagnósticos",0.103,1358070000.0,327986000.0,47.14,32.64,0.24,4.91,47.51,71.62,8.23,-34.36,41.78,8.0,0.115,0.13,2.11,13152800000.0,3432500000.0,0.594,2568360000.0,0.26,2061960000.0,-506402000.0,0.003,0.61,1.82,900928000.0,248778000.0,0.405,0.168,0.112,18.2,6.33,3714930000.0,0.378,0.0,0.0,0.087,1.064,0.197,0.14,0.143,0.0,0.14,7840690000.0,17.37,8066820000.0,2126380000.0,64021900000.0,64528300000.0
298,IHPARDINI,PARD3,Saúde,"Serviços Médico - Hospitalares, Análises e Diagnósticos","Serviços Médico - Hospitalares, Análises e Diagnósticos",0.093,181244000.0,90237000.0,17.88,11.45,0.97,1.58,16.97,24.15,4.33,-6.75,11.81,2.29,0.179,0.124,5.42,1950450000.0,783287000.0,0.083,264571000.0,0.6,429505000.0,164934000.0,0.012,0.69,1.5,127371000.0,60329000.0,0.264,0.135,0.095,32.14,14.73,130979000.0,-0.221,0.0,0.717,-0.431,0.484,-0.16,0.039,0.018,0.014,0.039,710265000.0,23.48,1342490000.0,448560000.0,3240320000.0,3075390000.0
299,INTERMEDICA,GNDI3,Saúde,"Serviços Médico - Hospitalares, Análises e Diagnósticos","Serviços Médico - Hospitalares, Análises e Diagnósticos",0.092,1463130000.0,381279000.0,40.76,33.46,1.33,3.77,40.88,73.64,8.42,-15.25,34.63,5.89,0.114,0.115,11.65,15860900000.0,4832050000.0,0.314,3020320000.0,0.4,2848940000.0,-171380000.0,0.002,0.64,1.56,812275000.0,197190000.0,0.299,0.144,0.07,101.45,33.42,609788000.0,0.288,0.0,0.0,0.436,1.357,0.15,0.252,0.318,0.013,0.252,7105290000.0,98.09,10163700000.0,2698610000.0,59642700000.0,59814100000.0
300,ODONTOPREV  ,ODPV3,Saúde,"Serviços Médico - Hospitalares, Análises e Diagnósticos","Serviços Médico - Hospitalares, Análises e Diagnósticos",0.279,568370000.0,139042000.0,12.03,11.55,0.66,3.78,13.54,22.03,6.39,26.76,16.88,4.34,0.29,0.491,2.27,2036040000.0,1114780000.0,0.082,857532000.0,,0.0,-857532000.0,0.035,0.87,1.69,349226000.0,85866000.0,0.593,0.32,0.196,17.77,11.77,531295000.0,-0.179,0.437,0.319,-0.119,0.252,-0.106,-0.005,0.071,0.001,-0.005,1204590000.0,14.48,1773570000.0,430350000.0,6835620000.0,7693150000.0
301,QUALICORP   ,QUAL3,Saúde,"Serviços Médico - Hospitalares, Análises e Diagnósticos","Serviços Médico - Hospitalares, Análises e Diagnósticos",0.201,778206000.0,240688000.0,12.26,8.17,1.39,2.37,11.81,23.36,5.18,-16.47,10.29,4.52,0.222,0.319,6.25,3881160000.0,1548810000.0,0.006,984578000.0,0.76,1339620000.0,355047000.0,0.009,0.52,2.36,393368000.0,130159000.0,0.81,0.383,0.194,44.73,19.59,284014000.0,-0.236,0.556,0.693,-0.569,2.429,-0.055,-0.072,-0.061,-0.005,-0.072,1773950000.0,32.35,2032050000.0,524604000.0,9542900000.0,9187850000.0
302,REDE D OR,RDOR3,Saúde,"Serviços Médico - Hospitalares, Análises e Diagnósticos","Serviços Médico - Hospitalares, Análises e Diagnósticos",0.044,1650260000.0,813777000.0,91.35,60.59,0.22,3.63,81.81,315.69,26.42,-7.69,13.28,10.16,0.084,0.059,2.57,37166400000.0,14227600000.0,,8468090000.0,4.74,24219600000.0,15751500000.0,0.002,0.36,3.5,427648000.0,337902000.0,0.18,0.124,0.033,69.81,60.95,1985330000.0,0.09,0.0,0.0,0.0,0.0,0.092,-0.003,-0.005,0.002,-0.003,5109590000.0,68.0,13289400000.0,3807800000.0,150754000000.0,135002000000.0
303,BAUMER      ,BALM3,Saúde,Equipamentos,Equipamentos,0.059,12918000.0,462.0,15.12,12.28,1.61,0.87,14.79,12.12,1.67,3.91,2.57,1.27,0.138,0.069,11.65,219614000.0,147146000.0,0.087,27534000.0,0.28,31775000.0,4241000.0,0.013,0.69,2.02,15764000.0,1506000.0,0.497,0.086,0.083,24.7,11.33,9800000.0,0.721,0.0,0.566,0.339,0.059,0.828,-0.059,0.216,0.01,-0.059,114153000.0,19.5,150619000.0,35569000.0,195341000.0,191100000.0
304,BAUMER      ,BALM4,Saúde,Equipamentos,Equipamentos,0.059,12918000.0,462.0,12.45,10.11,1.61,0.71,12.12,9.93,1.37,3.21,2.11,1.04,0.138,0.069,11.65,219614000.0,147146000.0,0.087,27534000.0,0.28,31775000.0,4241000.0,0.016,0.69,2.02,15764000.0,1506000.0,0.497,0.086,0.083,17.99,8.99,9800000.0,0.289,-0.081,0.104,0.611,-0.291,0.635,0.018,-0.001,0.031,0.018,114153000.0,15.98,150619000.0,35569000.0,160845000.0,156604000.0
305,DIMED       ,PNVL3,Saúde,Comércio e Distribuição,Medicamentos e Outros Produtos,0.039,85249100.0,23965000.0,41.21,17.98,0.37,1.55,39.55,60.07,3.36,12.76,4.44,1.17,0.056,0.066,6.63,2176370000.0,1436980000.0,0.078,579791000.0,0.72,721096000.0,141305000.0,0.006,1.32,2.12,56136000.0,15549000.0,0.282,0.03,0.02,32.02,17.9,151480000.0,0.12,1.403,-0.401,-0.212,0.917,0.111,0.026,0.067,-0.011,0.026,1003630000.0,22.26,2872110000.0,699048000.0,3513250000.0,3371940000.0
306,DIMED       ,PNVL4,Saúde,Comércio e Distribuição,Medicamentos e Outros Produtos,0.039,85249100.0,23965000.0,37.39,16.31,0.37,1.4,35.73,54.27,3.04,11.53,4.01,1.06,0.056,0.066,6.63,2176370000.0,1436980000.0,0.078,579791000.0,0.72,721096000.0,141305000.0,0.007,1.32,2.12,56136000.0,15549000.0,0.282,0.03,0.02,26.64,14.9,151480000.0,0.265,0.628,0.474,-0.347,1.029,0.403,-0.016,0.078,-0.013,-0.016,1003630000.0,20.11,2872110000.0,699048000.0,3187570000.0,3046260000.0
307,D1000VFARMA,DMVF3,Saúde,Comércio e Distribuição,Medicamentos e Outros Produtos,0.0,0.0,22302000.0,,,0.0,0.42,,0.0,0.76,-7.37,3.09,,,,16.17,1496140000.0,593600000.0,,317575000.0,0.27,218351000.0,-99224000.0,0.0,,1.51,0.0,1493000.0,,,,15.57,9.98,50603000.0,-0.212,0.0,0.0,0.0,0.0,-0.179,-0.04,-0.032,-0.013,-0.04,818306000.0,12.27,0.0,263239000.0,521675000.0,620899000.0
308,HYPERA,HYPE3,Saúde,Comércio e Distribuição,Medicamentos e Outros Produtos,0.055,945369000.0,301008000.0,24.12,21.37,1.92,1.3,23.44,18.18,2.38,83.74,3.83,5.71,0.131,0.08,14.68,17071300000.0,8040430000.0,0.178,4930970000.0,0.6,5574450000.0,643480000.0,0.033,0.23,3.56,1219010000.0,345629000.0,0.64,0.243,0.314,40.6,26.04,633421000.0,-0.046,0.261,0.477,-0.119,0.218,-0.012,0.022,0.038,-0.012,0.022,9295560000.0,34.99,3882610000.0,1088500000.0,22806900000.0,22163400000.0
309,PAGUE MENOS,PGMN3,Saúde,Comércio e Distribuição,Medicamentos e Outros Produtos,0.058,331309000.0,85474000.0,15.29,8.69,0.15,0.84,14.39,73.5,2.6,-6.23,3.94,0.71,0.035,0.085,4.12,5670750000.0,3075900000.0,0.042,655886000.0,0.52,954855000.0,298969000.0,0.0,1.18,1.65,64849000.0,40153000.0,0.31,0.05,0.01,10.74,8.1,443781000.0,0.022,0.0,0.0,0.0,0.0,-0.142,0.191,0.245,0.002,0.191,1830370000.0,10.74,6687400000.0,1781760000.0,5065180000.0,4766210000.0
310,PROFARMA    ,PFRM3,Saúde,Comércio e Distribuição,Medicamentos e Outros Produtos,0.056,205836000.0,71078000.0,5.03,3.04,0.36,0.23,4.04,18.9,0.82,3.99,0.96,0.16,0.043,0.095,8.23,3677480000.0,2486830000.0,0.076,521361000.0,0.71,724070000.0,202709000.0,0.0,1.44,1.53,44017000.0,28297000.0,0.144,0.039,0.009,7.64,3.1,123813000.0,-0.07,0.8,-0.089,-0.449,0.646,-0.057,0.102,0.251,0.012,0.102,1018720000.0,6.72,5280740000.0,1325910000.0,1034730000.0,832023000.0
311,RAIADROGASIL    ,RADL3,Saúde,Comércio e Distribuição,Medicamentos e Outros Produtos,0.071,929634000.0,280236000.0,47.79,22.46,0.25,3.32,46.57,105.95,10.37,-17.61,19.97,2.24,0.098,0.092,2.53,13045000000.0,6358680000.0,0.157,600206000.0,0.42,1732010000.0,1131800000.0,0.005,1.48,1.52,408673000.0,154725000.0,0.294,0.048,0.022,27.01,18.9,1651930000.0,0.106,0.756,0.512,-0.373,0.967,0.127,0.047,0.027,-0.022,0.047,4173490000.0,26.21,19298200000.0,5093450000.0,44428900000.0,43297100000.0
312,POSITIVO TEC,POSI3,Tecnologia da Informação,Computadores e Equipamentos,Computadores e Equipamentos,0.005,13174000.0,7219000.0,68.06,13.98,0.34,0.26,49.94,13.82,0.71,1.46,0.87,0.35,0.051,0.009,6.57,2560480000.0,2069790000.0,0.014,546175000.0,0.84,784894000.0,238719000.0,0.007,0.73,1.58,47619000.0,49219000.0,0.204,0.007,0.027,10.35,2.23,141800000.0,-0.515,0.731,0.123,-0.28,3.549,-0.495,-0.09,-0.095,-0.019,-0.09,931221000.0,4.64,1869750000.0,521747000.0,896671000.0,657952000.0
313,ENJOEI,ENJU3,Tecnologia da Informação,Programas e Serviços,Programas e Serviços,0.0,0.0,-6990000.0,,,0.0,28.79,,0.0,43.2,60.88,55.05,,,,0.37,109296000.0,88136000.0,,84368000.0,0.08,5540000.0,-78828000.0,0.0,,2.85,0.0,-8147000.0,,,,16.1,7.88,195468000.0,0.652,0.0,0.0,0.0,0.0,0.308,0.263,0.345,0.068,0.263,72852000.0,16.1,0.0,22378000.0,3068210000.0,3147040000.0
314,LINX,LINX3,Tecnologia da Informação,Programas e Serviços,Programas e Serviços,0.051,138083000.0,32662000.0,50.77,24.14,-0.03,2.69,52.52,-15229899999.999998,4.31,33.05,10.56,8.39,-0.003,0.072,8.89,2696560000.0,1231990000.0,0.158,757676000.0,0.31,515444000.0,-242232000.0,0.003,0.32,2.26,-4762000.0,-7909000.0,0.668,0.16,-0.006,38.32,16.46,189409000.0,0.021,0.184,0.249,0.539,0.091,0.07,0.022,0.026,0.012,0.022,1684040000.0,38.29,864757000.0,220974000.0,7010240000.0,7252470000.0
315,LOCAWEB,LWSA3,Tecnologia da Informação,Programas e Serviços,Programas e Serviços,0.038,46081000.0,16873000.0,292.93,131.17,0.14,11.39,301.07,783.02,21.11,45.51,30.26,30.61,0.027,0.071,5.18,1217940000.0,865738000.0,,544567000.0,0.26,169514000.0,-375053000.0,0.001,0.37,2.13,17718000.0,7810000.0,0.42,0.102,0.039,110.73,10.18,126815000.0,4.32,0.0,0.0,0.0,0.0,2.913,0.36,0.475,0.041,0.36,657061000.0,109.4,453235000.0,126226000.0,13498500000.0,13873600000.0
316,MELIUZ,CASH3,Tecnologia da Informação,Programas e Serviços,Programas e Serviços,0.0,0.0,4808000.0,,,0.0,53.74,,0.0,88.68,132.39,108.31,,,,0.32,66530000.0,50767000.0,,34292000.0,0.33,13228000.0,-21064000.0,0.0,,2.86,0.0,4733000.0,,,,28.28,9.44,126433000.0,1.995,0.0,0.0,0.0,0.0,0.59,0.884,0.83,0.137,0.884,40319000.0,28.28,0.0,25644000.0,3554460000.0,3575530000.0
317,NEOGRID,NGRD3,Tecnologia da Informação,Programas e Serviços,Programas e Serviços,0.0,0.0,10245000.0,,,0.0,8.19,,0.0,20.02,-25.99,239.52,,,,0.57,335495000.0,92595000.0,,36198000.0,0.86,117719000.0,81521000.0,0.0,,1.14,0.0,4082000.0,,,,11.51,4.43,238662000.0,1.598,0.0,0.0,0.0,0.0,0.614,0.61,1.465,0.009,0.61,137186000.0,11.51,0.0,53527000.0,2828520000.0,2747000000.0
318,SINQIA,SQIA3,Tecnologia da Informação,Programas e Serviços,Programas e Serviços,-0.006,-3765000.0,5989000.0,-339.67,70.86,0.03,2.52,-408.49,745.86,3.55,8.03,5.09,7.73,0.005,-0.014,6.15,611378000.0,369279000.0,0.239,339728000.0,0.19,80602000.0,-259126000.0,0.0,0.33,5.49,2062000.0,851.0,0.339,-0.019,0.011,29.26,11.86,70549000.0,-0.242,0.554,0.936,-0.045,2.877,-0.033,-0.072,-0.01,0.003,-0.072,433556000.0,21.8,199029000.0,52763000.0,1278840000.0,1537970000.0
319,TOTVS       ,TOTS3,Tecnologia da Informação,Programas e Serviços,Programas e Serviços,0.201,989379000.0,269754000.0,16.61,14.0,0.44,3.51,17.45,68.44,6.73,70.4,22.45,6.94,0.098,0.263,4.44,4913730000.0,2592930000.0,0.031,1062730000.0,0.09,232216000.0,-830516000.0,0.007,0.51,1.42,252228000.0,79311000.0,0.694,0.398,0.102,30.97,13.93,577913000.0,0.239,-0.192,0.256,-0.085,1.398,0.345,0.04,0.062,0.012,0.04,2566020000.0,29.87,2485870000.0,677766000.0,16431800000.0,17262300000.0
320,OI,OIBR3,Comunicações,Telecomunicações,Telecomunicações,-0.022,-1622910000.0,-298485000.0,-21.44,6.62,-2.45,0.19,-8.33,-0.93,2.26,-0.28,2.24,0.71,-2.439,-0.026,1.0,72664300000.0,18179100000.0,-0.08,5653950000.0,4.5,26928800000.0,21274900000.0,0.0,0.26,1.5,-14590700000.0,-2638380000.0,0.217,-0.086,-0.772,2.5,0.44,5954210000.0,1.376,0.083,0.383,-0.539,-0.312,1.57,0.032,0.041,-0.042,0.032,5982220000.0,2.27,18911900000.0,4706050000.0,34790900000.0,13516000000.0
321,OI,OIBR4,Comunicações,Telecomunicações,Telecomunicações,-0.022,-1622910000.0,-298485000.0,-23.35,7.21,-2.45,0.23,-10.24,-1.14,2.78,-0.34,2.75,0.88,-2.439,-0.026,1.0,72664300000.0,18179100000.0,-0.08,5653950000.0,4.5,26928800000.0,21274900000.0,0.0,0.26,1.5,-14590700000.0,-2638380000.0,0.217,-0.086,-0.772,3.64,0.85,5954210000.0,1.014,0.222,0.539,-0.504,-0.024,1.301,-0.011,-0.048,-0.035,-0.011,5982220000.0,2.79,18911900000.0,4706050000.0,37887100000.0,16612200000.0
322,TELEBRAS    ,TELB3,Comunicações,Telecomunicações,Telecomunicações,-0.064,-269032000.0,-64020000.0,-17.67,-69.13,0.42,1.27,-19.93,188.55,3.37,-3.87,5.26,20.74,0.018,-0.082,23.45,4230850000.0,1255130000.0,0.424,882358000.0,0.17,274490000.0,-607868000.0,0.0,0.06,5.3,28434000.0,-16151000.0,-0.701,-1.041,0.11,195.1,50.0,67865000.0,-0.226,-0.252,0.549,-0.263,2.663,-0.128,-0.103,-0.122,0.0,-0.103,1591550000.0,79.0,258460000.0,70796000.0,4753470000.0,5361330000.0
323,TELEBRAS    ,TELB4,Comunicações,Telecomunicações,Telecomunicações,-0.064,-269032000.0,-64020000.0,-5.16,-20.18,0.42,0.47,-7.42,70.17,1.25,-1.44,1.96,7.72,0.018,-0.082,23.45,4230850000.0,1255130000.0,0.424,882358000.0,0.17,274490000.0,-607868000.0,0.0,0.06,5.3,28434000.0,-16151000.0,-0.701,-1.041,0.11,48.0,12.41,67865000.0,-0.052,2.357,0.031,0.028,0.286,0.062,-0.048,-0.052,0.005,-0.048,1591550000.0,29.4,258460000.0,70796000.0,1387360000.0,1995230000.0
324,TELEF BRASIL,VIVT3,Comunicações,Telecomunicações,Telecomunicações,0.056,6097780000.0,1403750000.0,12.86,4.51,2.81,0.68,12.16,15.61,1.06,-4.33,34.03,1.71,0.068,0.065,41.31,109237000000.0,22281200000.0,0.006,8356260000.0,0.18,12633000000.0,4276750000.0,0.078,0.4,1.11,4751990000.0,1211490000.0,0.479,0.141,0.11,53.15,40.78,1690980000.0,-0.114,0.249,0.208,0.088,0.258,0.03,-0.057,-0.022,0.002,-0.057,69847300000.0,43.86,43310500000.0,10791500000.0,78443400000.0,74166600000.0
325,TELEF BRASIL,VIVT4,Comunicações,Telecomunicações,Telecomunicações,0.056,6097780000.0,1403750000.0,13.27,4.65,2.81,0.7,12.57,16.13,1.1,-4.48,35.18,1.77,0.068,0.065,41.31,109237000000.0,22281200000.0,0.006,8356260000.0,0.18,12633000000.0,4276750000.0,0.056,0.4,1.11,4751990000.0,1211490000.0,0.479,0.141,0.11,58.3,42.01,1690980000.0,-0.211,0.28,0.168,0.034,0.327,-0.167,0.0,0.0,0.0,0.0,69847300000.0,45.34,43310500000.0,10791500000.0,80946000000.0,76669300000.0
326,TIM,TIMS3,Comunicações,Telecomunicações,Telecomunicações,0.083,3296610000.0,790770000.0,9.63,3.6,0.7,0.82,9.94,19.3,1.41,-4.72,11.18,1.91,0.073,0.097,9.6,39790100000.0,9601210000.0,,3637720000.0,0.11,2593860000.0,-1043860000.0,0.033,0.43,1.44,1698210000.0,390038000.0,0.554,0.192,0.099,14.88,11.55,2420800000.0,0.044,0.0,0.0,0.0,0.0,0.13,-0.076,-0.055,-0.013,-0.076,23249200000.0,13.54,17176300000.0,4387370000.0,31733800000.0,32777700000.0
327,AES SUL,AESL3,Utilidade Pública,Energia Elétrica,Energia Elétrica,0.09,1120940000.0,313799000.0,13.8,10.59,665.77,0.91,10.12,15.14,2.78,-2.64,44.28,1.45,0.183,0.112,3628690000.0,12492700000.0,4117550000.0,0.323,1818740000.0,1.46,5944280000.0,4125540000.0,0.0,0.63,1.07,749274000.0,223668000.0,0.21,0.143,0.096,0.0,0.0,1125430.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4083820000.0,10081900000.0,7818100000.0,1965480000.0,15472000000.0,11346400000.0
328,AES SUL,AESL4,Utilidade Pública,Energia Elétrica,Energia Elétrica,0.09,1120940000.0,313799000.0,13.8,10.59,665.77,0.91,10.12,15.14,2.78,-2.64,44.28,1.45,0.183,0.112,3628690000.0,12492700000.0,4117550000.0,0.323,1818740000.0,1.46,5944280000.0,4125540000.0,0.0,0.63,1.07,749274000.0,223668000.0,0.21,0.143,0.096,0.0,0.0,1125430.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4083820000.0,10081900000.0,7818100000.0,1965480000.0,15472000000.0,11346400000.0
